# iter s fp_eta_max erro
1 3.000000000000e-01 9.345562507425e-01 -6.544374925753e-02
2 3.315119946994e-01 9.989048238620e-01 -1.095176137952e-03
3 3.320571887062e-01 9.999997018618e-01 -2.981382019041e-07
4 3.320573372049e-01 1.000000000000e+00 4.742872761199e-13
