# x y T
0.000000000000e+00 0.000000000000e+00 1.000000000000e+02
6.000000000000e-03 0.000000000000e+00 9.932309086569e+01
1.200000000000e-02 0.000000000000e+00 9.870076549103e+01
1.800000000000e-02 0.000000000000e+00 9.811379432438e+01
2.400000000000e-02 0.000000000000e+00 9.755941956829e+01
3.000000000000e-02 0.000000000000e+00 9.703698331596e+01
3.600000000000e-02 0.000000000000e+00 9.654618088214e+01
4.200000000000e-02 0.000000000000e+00 9.608678298798e+01
4.800000000000e-02 0.000000000000e+00 9.565858573526e+01
5.400000000000e-02 0.000000000000e+00 9.526140111963e+01
6.000000000000e-02 0.000000000000e+00 9.489505514878e+01
6.600000000000e-02 0.000000000000e+00 9.455938741803e+01
7.200000000000e-02 0.000000000000e+00 9.425425097091e+01
7.800000000000e-02 0.000000000000e+00 9.397951221969e+01
8.400000000000e-02 0.000000000000e+00 9.373505088225e+01
9.000000000000e-02 0.000000000000e+00 9.352075992713e+01
9.600000000000e-02 0.000000000000e+00 9.333654552489e+01
1.020000000000e-01 0.000000000000e+00 9.318232700563e+01
1.080000000000e-01 0.000000000000e+00 9.305803682260e+01
1.140000000000e-01 0.000000000000e+00 9.296362052172e+01
1.200000000000e-01 0.000000000000e+00 9.289903671719e+01

0.000000000000e+00 2.500000000000e-03 1.000000000000e+02
6.000000000000e-03 2.500000000000e-03 9.934101226443e+01
1.200000000000e-02 2.500000000000e-03 9.872016647415e+01
1.800000000000e-02 2.500000000000e-03 9.813325582964e+01
2.400000000000e-02 2.500000000000e-03 9.757876924970e+01
3.000000000000e-02 2.500000000000e-03 9.705620024705e+01
3.600000000000e-02 2.500000000000e-03 9.656526815892e+01
4.200000000000e-02 2.500000000000e-03 9.610574797859e+01
4.800000000000e-02 2.500000000000e-03 9.567743656873e+01
5.400000000000e-02 2.500000000000e-03 9.528014603058e+01
6.000000000000e-02 2.500000000000e-03 9.491370235522e+01
6.600000000000e-02 2.500000000000e-03 9.457794510076e+01
7.200000000000e-02 2.500000000000e-03 9.427272727251e+01
7.800000000000e-02 2.500000000000e-03 9.399791524713e+01
8.400000000000e-02 2.500000000000e-03 9.375338871035e+01
9.000000000000e-02 2.500000000000e-03 9.353904060204e+01
9.600000000000e-02 2.500000000000e-03 9.335477706762e+01
1.020000000000e-01 2.500000000000e-03 9.320051741560e+01
1.080000000000e-01 2.500000000000e-03 9.307619408115e+01
1.140000000000e-01 2.500000000000e-03 9.298175259561e+01
1.200000000000e-01 2.500000000000e-03 9.291715156213e+01

0.000000000000e+00 5.000000000000e-03 1.000000000000e+02
6.000000000000e-03 5.000000000000e-03 9.935231190482e+01
1.200000000000e-02 5.000000000000e-03 9.873367613862e+01
1.800000000000e-02 5.000000000000e-03 9.814708844795e+01
2.400000000000e-02 5.000000000000e-03 9.759257806531e+01
3.000000000000e-02 5.000000000000e-03 9.706992512537e+01
3.600000000000e-02 5.000000000000e-03 9.657890253045e+01
4.200000000000e-02 5.000000000000e-03 9.611929541120e+01
4.800000000000e-02 5.000000000000e-03 9.569090254184e+01
5.400000000000e-02 5.000000000000e-03 9.529353636289e+01
6.000000000000e-02 5.000000000000e-03 9.492702290442e+01
6.600000000000e-02 5.000000000000e-03 9.459120170775e+01
7.200000000000e-02 5.000000000000e-03 9.428592575269e+01
7.800000000000e-02 5.000000000000e-03 9.401106139084e+01
8.400000000000e-02 5.000000000000e-03 9.376648828495e+01
9.000000000000e-02 5.000000000000e-03 9.355209935441e+01
9.600000000000e-02 5.000000000000e-03 9.336780072667e+01
1.020000000000e-01 5.000000000000e-03 9.321351169479e+01
1.080000000000e-01 5.000000000000e-03 9.308916468098e+01
1.140000000000e-01 5.000000000000e-03 9.299470520620e+01
1.200000000000e-01 5.000000000000e-03 9.293009186566e+01

0.000000000000e+00 7.500000000000e-03 1.000000000000e+02
6.000000000000e-03 7.500000000000e-03 9.935856784520e+01
1.200000000000e-02 7.500000000000e-03 9.874162210071e+01
1.800000000000e-02 7.500000000000e-03 9.815535238000e+01
2.400000000000e-02 7.500000000000e-03 9.760085645501e+01
3.000000000000e-02 7.500000000000e-03 9.707815909128e+01
3.600000000000e-02 7.500000000000e-03 9.658708337713e+01
